titulos,fechas,temas,autores,subtitulos,articulos,url
"Según vocero de la minga, avanzan sin contratiempos y sin contagios de covid-19","sábado, 17 de octubre de 2020",HACIENDA,Ximena González - xgonzalez@larepublica.com.co,"Joe Sauca, uno de los voceros de la Minga que va hasta Bogotá, aseguró que en el trayecto han vivido momentos muy agradables","De acuerdo con RCN Radio,  uno de los voceros de la Minga Indígena que se desplaza hasta Bogotá señaló que hasta el momento no se ha reportado ningún caso de salud de contagio de coronavirus y que todas las personas van en perfectas condiciones.
Así mismo, el vocero señaló a ese medio radial que, “vamos creciendo, estamos con gente de procesos sociales, campesinos, afro, estudiantiles, entre otros. Anoche descansamos bien y son buenos los reportes que. en materia del clima”.
RCN Radio también dio a conocer que el vocero de la minga dijo que para su llegada a Fusagasugá (Cundinamarca) caminarán tres kilómetros antes de llegar al municipio para luego hacer presencia en una plaza donde se tiene todo dispuesto para hacer un acto político, “luego todos a descansar y alistar para mañana seguir el viaje”.
El alcalde de Fusagasugá, John Jairo Hortua, aseguró que todo está listo para que este sábado llegue a ese municipio la Minga Indígena, la cual salió en las últimas horas desde Ibagué.",https://www.larepublica.co/economia/segun-vocero-de-la-minga-indigena-esta-avanza-sin-contratiempos-y-sin-contagios-de-covid-19-3075765
Ministerio de Salud reportó 6.823 casos nuevos de covid-19 y 151 muertes por el virus,"jueves, 15 de octubre de 2020",SALUD,Ana María Sánchez - amsanchez@larepublica.com.co,La cartera informó que el número de recuperados ascendió a 826.831 y el número de casos activos llegó a 79.585,"El Ministerio de Salud informó en su reporte diario que en las últimas 24 horas se registraron  6.823 casos nuevos de covid-19 en el país, por lo que en total van 936.982 casos confirmados del virus a lo largo del territorio.

Este resultado se dio tras llevarse a cabo 43.574 pruebas, de las cuales 21.906 se hicieron por el test PCR, y otras 21.668 por la prueba de antígenos. 

En este reporte también se conoció que hubo un total de 151 muertes relacionadas con el virus, por lo que, a la fecha van 28.457 fallecidos. Por otra parte, la cartera anunció que el número de recuperados ascendió a 826.831 y el número de casos activos llegó a 79.585.

A nivel regional, el Ministerio dio a conocer que Antioquia fue el departamento con mayor número de contagios en un día con un total de 1.498, seguido de Bogotá con 1.413, Valle 578, Quindío 439, Cundinamarca 383, Huila 350, Casanare 220, Santander 210 y Caldas 186.",https://www.larepublica.co/economia/ministerio-de-salud-reporto-6823-casos-nuevos-de-covid-19-y-151-muertes-por-el-virus-3074642
,,,,,,https://www.larepublica.co/indicadores-economicos/macro/ipc
Ministerio de Salud reportó 7.017 nuevos casos de covid-19 y 187 personas fallecidas,"sábado, 17 de octubre de 2020",SALUD,Ximena González - xgonzalez@larepublica.com.co,La cartera de salud informó que en total van 952.371 casos confirmados en Colombia y un total de 847.467 personas recuperadas,"El Ministerio de Salud informó en su reporte diario que en las últimas 24 horas se registraron 7.017 casos nuevos de covid-19 en el país, por lo que en total van 952.371 casos confirmados del virus a lo largo del territorio.
Este resultado se dio tras llevarse a cabo 43.891 pruebas en total, de las cuales 28.856 fueron por la prueba PCR y 15.035 por la prueba de antígenos.

En este reporte también se conoció que hubo un total de 187 muertes relacionadas con el virus, por lo que, a la fecha van 28.803 fallecidos. Por otra parte, la cartera anunció que el número de recuperados ascendió a 847.467 y el número de casos activos llegó a 73.966.

A nivel regional, el Ministerio dio a conocer que Antioquia volvió a ser el departamento con mayor número de contagios en un día con un total de 1.593, seguido de Bogotá con 1.562, Valle 699, Huila 363 y Santander con 288 nuevos casos.
Según el reporte, hay 1.400 conglomerados en el país. Los territorios son: Amazonas, Antioquia (Ituango), Arauca, Atlántico, Barranquilla, Bogotá, Boyacá, Bolívar, Buenaventura, Caldas, Caquetá, Cartagena, Casanare, Cauca, Cesar, Chocó, Córdoba, Cundinamarca, Huila, La Guajira, Magdalena, Meta, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, San Andrés, Santa Marta, Santander, Sucre, Tolima, Valle, Vaupés, Vichada, Guaviare y Guainía.

A nivel mundial, la cifra va en 39,4 millones de casos, 1,1 millones de muertes y 27,1 millones de personas recuperadas.",https://www.larepublica.co/economia/el-ministerio-de-salud-reporto-7017-nuevos-casos-de-covid-19-y-187-personas-fallecidas-3075768
"Confis aprobó inversión de $11,5 billones para 50 obras de infraestructura en las regiones","jueves, 15 de octubre de 2020",CONSTRUCCIÓN,Laura Fernanda Bolaños R. - lbolaños@larepublica.com.co,"Estos proyectos se aprobaron para contribuir a la reactivación económica del país, y una de las regiones beneficiadas será la central Caribe","Por medio de un comunicado de prensa, la vicepresidente Marta Lucía Ramírez, dio a conocer que el Consejo Superior de Política Fiscal, Confis, aprobó la inversión de $11,5 billones para realizar 50 obras de infraestructura en las regiones.
""La infraestructura es eje del Compromiso por Colombia que lidera el Presidente Iván Duque. Reactivaremos el país con obras, que generarán desarrollo con impacto social en las regiones. Queremos vías para el campo, para las ciudades, porque de esta manera combatimos la pobreza, dinamizamos el comercio, generamos empleo"", fueron las palabras de la vicepresidente.
Estos proyectos se aprobaron con el objetivo de contribuir a la reactivación económica del país, por lo que estarán enfocados en Caribe, la región central, Eje cafetero, Santanderes y otros.
Otras de las cifras que se dieron a conocer es que con el programa Concluir y Concluir ""se adelantarán 28 Proyectos, con una inversión de $2,23 billones, para un total de 400 km. De esta manera, se generarán 39.560 empleos directos, en un plazo de 15 a 19 meses"".
“Queremos transformar el país desde las regiones, desde la ruralidad, y en esa meta estamos enfocando nuestros esfuerzos. Esta será la década de la infraestructura en Colombia"", concluyó la Vicepresidente.",https://www.larepublica.co/economia/confis-aprobo-inversion-de-115-billones-para-50-obras-de-infraestructura-en-las-regiones-3074522
,,,,,,https://www.larepublica.co/indicadores-economicos/macro/tasa-de-intervencion-de-politica-monetaria
Gobierno anunció que se harán ocho obras para la infraestructura del suministro del gas,"viernes, 16 de octubre de 2020",ENERGÍA,Ana María Sánchez - amsanchez@larepublica.com.co,"Para este plan de abastecimiento, la Upme ratificó la necesidad de que se construya la Planta de Regasificación del Pacífico colombiano","El Gobierno Nacional presentó el Plan de Abastecimiento de Gas Natural formulado por la Unidad de Planeación Minero Energética (Upme) y adoptado por el Ministerio de Minas y Energía. Este incluye ocho obras que permitirán atraer inversiones por US$800 millones. Con este plan se asegura el abastecimiento y confiabilidad en el suministro de este combustible durante los próximos 10 años.
“El gas natural es un servicio esencial en la vida de los colombianos, no solo porque 8 de cada 10 hogares lo usan a diario, sino porque contribuye a la protección del medio ambiente y al cierre de brechas evitando el uso de leña. Además, es considerado el combustible de la transición energética: reduce en 40% las emisiones de carbono y en 96% el material particulado”, aseguró el Ministro de Minas y Energía, Diego Mesa.
Para este plan de abastecimiento, la Upme ratificó la necesidad de que se construya la Planta de Regasificación del Pacífico colombiano para la importación del gas. Esto porque en el último año la tendencia de la reservas de gas natural han sido negativas, solo en este año pasaron de 9,8 años a 8,1 años.
Los análisis técnicos de la Unidad concluyeron que ""este nuevo punto de suministro de gas natural importado diversificará las fuentes de producción, además de flexibilizar el sistema nacional de transporte ante eventos de falla en el sistema, reduciendo así el riesgo de desatención de demanda"".
De realizarse, la planta tendrá una capacidad de almacenamiento de 170.000 metros cúbicos, y podrá regasificar 400 millones de pies cúbicos diarios de Gas Natural Licuado en el municipio de Buenaventura y estará conectada a un gasoducto hasta un punto de entrega al Sistema Nacional de Transporte en Yumbo, Valle del Cauca. 
La UPME continuará durante el segundo semestre de 2020 con el proceso de la convocatoria para seleccionar el inversionista que lleve a cabo el diseño, construcción, operación y mantenimiento de esta infraestructura y del gasoducto que la conectará, la cual se espera adjudicar a inicios de 2021.
Además de la Planta de Regasificación y al gasoducto Yumbo - Buenaventura, el Plan incluye otras obras de infraestructura de transporte que permitirán la conexión de los diferentes mercados del país. Se trata, entre otras, de la interconexión y bidireccionalidades de los gasoductos Barranquilla – Ballena (norte) y Barrancabermeja - Ballena (norte – centro). Adicionalmente, se construirá una bidireccionalidad del tramo Yumbo – Mariquita (occidente) y se aumentará la capacidad de transporte en el ramal Jamundí (Valle del Cauca) y en el tramo Mariquita- Gualanday (Tolima)",https://www.larepublica.co/economia/el-gobierno-anuncio-que-se-realizaran-ocho-obras-para-la-infraestructura-del-suministro-del-gas-3075160
,,,,,,https://www.larepublica.co/globoeconomia/pese-a-la-oposicion-de-tres-bancos-multitiendas-corona-se-anota-triunfo-en-reorganizacion-3075166
"Importaciones cayeron más de 2% entre julio y agosto y cerraron en US$3.571,2 millones","sábado, 17 de octubre de 2020",COMERCIO,Laura Fernanda Bolaños R. - lbolaños@larepublica.com.co,"El Dane también dio a conocer que la balanza comercial tuvo un déficit de US$827,9 millones en el octavo mes","ARTÍCULO RELACIONADODéficit de balanza comercial se redujo alrededor de 32% en el primer mes del añoLa reactivación paulatina que está teniendo el país se está traduciendo poco a poco en cifras como las importaciones. El Departamento Administrativo Nacional de Estadística (Dane), dio a conocer las cifras de las compras internacionales e informó que en agosto fueron US$3.571,2 millones y presentaron una disminución de 27,3% con relación al mismo mes de 2019.

Al comprar las importaciones entre julio y agosto, estas presentaron una contracción de 2,05% en un mes, ya que en julio se ubicaron en US$3.646,1 millones; una cifra menor a la caída presentada en mayo cuando se ubicó en -7%.
Según se detalla en el informe, este comportamiento obedeció principalmente a la disminución de 22,2% en el grupo de manufacturas. Las importaciones de este grupo participaron en 78,8% del valor total de las importaciones, seguido por productos agropecuarios, alimentos y bebidas, con 15,5%, combustibles y productos de las industrias extractivas, con 5,6% y otros sectores, 0,1%.
Jackeline Piraján, economista de Scotiabank Colpatria, afirmó que “las importaciones fueron de niveles parecidos a los de julio, y en términos históricos son un poco equivalentes a lo que la economía compraba en 2016-2017. Vemos por eso que ha habido una dinámica de recuperación”.
En agosto, las importaciones de manufacturas fueron US$2.815,3 millones y presentaron una caída mayor a 20% por menores compras de maquinaria y equipo de transporte (-21,5%), y la caída en las importaciones de artículos manufacturados.
En cuando a la balanza comercial, en agosto se reportó un déficit de US$827 millones.",https://www.larepublica.co/economia/importaciones-cayeron-mas-de-2-entre-julio-y-agosto-y-cerraron-en-us35712-millones-3075313
,,,,,,https://www.larepublica.co/ocio/flora-beauty-lanza-linea-de-lujo-de-skincare-hecha-con-componentes-certificados-y-cbd-3075443
